Titulo,Autores,Precio inicial,Precio final
MATEMÁTICA AVANZADA -CÁLCULO DIFERENCIAL- (BACHILLERATO GENERAL),ZÁRATE            /            GARCÍA,$425.00,$382.50
CÁLCULO DE UNA VARIABLE (BUNDLE INCLUYE WA LABS) -TRASCED. TEMP-,"STEWART, JAMES",$340.00,$306.00

Titulo,Autores,Precio inicial,Precio final
CÁLCULO DIFERENCIAL E INTEGRAL,SILVANUS P. THOMPSON,$730.00,$627.80
MATEMÁTICAS VI. CÁLCULO INTEGRAL,JUAN ANTONIO CUéLLAR,$190.00,$171.00
MATEMÁTICAS V. CÁLCULO DIFERENCIAL,JUAN ANTONIO CUéLLAR,$180.00,$162.00
CÁLCULO DIFERENCIAL,CONAMAT,$429.00,$386.10
CÁLCULO INTEGRAL,CONAMAT,$278.00,$250.20
CÁLCULO,ROBERT A. ADAMS,$265.00,$238.50
CÁLCULO DIFERENCIAL E INTEGRAL,CONAMAT,$380.00,$342.00
CÁLCULO CON TRASCENDENTES TEMPRANAS,HENRY C. EDWARDS,$275.00,$247.50
CÁLCULO UNA VARIABLE,"GEORGE B.THOMAS, JR.","$1,007.00",$805.60
Titulo,Autores,Precio inicial,Precio final
CÁLCULO DIFERENCIAL (DGB/NVO.MODELO EDUCATIVO/C/ESPIRAL),GARCÍA            /            MAYA,$650.00,$559.00
CÁLCULO INTEGRAL -PENSAMIENTO Y LENGUAJE VARIACIONAL-,SÁNCHEZ            /            GARCÍA            /            PÉREZ,$455.00,$409.50
PLATAFORMA CONNECT 18MESES CALCULO 5ED. -TRASCENDENTES TEMPRANAS-,MCGRAWHILL-SMITH,$469.00,$422.10
PLATAFORMA CONNECT 12MESES CALCULO UNA VARIABLE 5ED.-TRASC.TEMP.-,MCGRAWHILL-SMITH,$419.00,$377.10
PLATAFORMA CONNECT 12MESES CALCULO DE VARIAS VAR.5ED.-TRAS.TEMP.-,MCGRAWHILL-SMITH,$187.00,$168.30
CÁLCULO DE UNA VARIABLE,DENNIS G. ZILL,$555.00,$499.50
CÁLCULO DE VARIAS VARIABLES,DENNIS G. ZILL,$655.00,$589.50
Titulo,Autores,Precio inicial,Precio final
CALCULO (EL VERBO DEL COSMOS),"FRANCO, JORGE",$567.00,$510.30
METODO SIMPLIFICADO DE MULTIPLICACION Y CALCULO MENTAL,"HANDLEY, BILL",$640.00,$550.40
MATEMATICAS 3 CALCULO DE VARIAS VARIABLES,LARSON,$488.00,$419.68
CALCULO DE ANTENAS 4ED.,"GARCIA, ARMANDO",$430.00,$369.80
CALCULO DIFERENCIAL EN VARIAS VARIABLES C/660 EJERCICIOS RESUELTO,BESADA            /            GARCIA            /            MIRAS,$430.00,$369.80
Titulo,Autores,Precio inicial,Precio final
CALCULO DIFERENCIAL 2ED.,"GARZA, BENJAMIN",$175.00,$150.50
CÁLCULO INTEGRAL 4ED.,CONAMAT,$280.00,$252.00
ESTIMULACIÓN DE LAS FUNC.COGN. NIVEL 2 CUAD.2 CÁLCULO,"LEÓN, CARMEN",$280.00,$240.80
NUTRICIÓN PRINCIPIOS DE DIETO-CÁLCULO -PASO A PASO PARA UNA DIETA,"GUTIÉRREZ, RAMÓN",$75.00,$67.50
CÁLCULO DE VARACIONES Y CONTROL OPTIMO,"VALDOVINOS, VÍCTOR",$180.00,$162.00
CALCULO DIFERENCIAL                                       (,JUNEZ VEGA,$521.00,$468.90
CALCULO DIFERENCIAL              (BACH. POR COMPETENCIAS),VALENCIA            /            BACA,$765.00,$688.50
CALCULO INTEGRAL                 (BACH. POR COMPETENCIAS),"VALENCIA, FRANCISCO",$459.00,$413.10
APLICACIONES DE CALCULO PARA LA TI-89,"BARTON, RAY",$455.00,$409.50
CÁLCULO TRASCENDENTES TEMPRANAS 2ED.,ANTON,$359.00,$323.10
